Date,Price,Open,High,Low,Volume,Change(%)
22 Jun 2022,210.65,210.8,211.25,208.2,7693228,0.14%
21 Jun 2022,210.35,209.05,213.15,207.3,7094715,1.01%
20 Jun 2022,208.25,209.1,210.9,206.35,5551705,-1.47%
17 Jun 2022,211.35,214.2,216.9,210.25,14756420,-2.31%
16 Jun 2022,216.35,223.35,224.3,215.65,8912500,-2.65%
15 Jun 2022,222.25,224.25,226.3,221.9,4423923,-0.76%
14 Jun 2022,223.95,222.35,227.3,222,12767972,0.72%
13 Jun 2022,222.35,221.85,225.5,221.5,7640082,-0.94%
10 Jun 2022,224.45,222.05,227.45,222.05,6764430,-0.18%
09 Jun 2022,224.85,224.7,225.7,221,7101031,0.13%
08 Jun 2022,224.55,223.05,226.5,223.05,8430098,-0.20%
07 Jun 2022,225,223.95,226.25,223.7,6827397,0.09%
06 Jun 2022,224.8,226,227.45,223.55,9519970,-0.53%
03 Jun 2022,226,226,228.1,225,12061889,0.20%
02 Jun 2022,225.55,229.4,229.4,224.55,7553924,-1.59%
01 Jun 2022,229.2,232.15,233,228.15,7711507,-1.59%
31 May 2022,232.9,228.25,235.15,228.2,19763659,2.04%
30 May 2022,228.25,224.5,229.9,224.3,6979319,1.58%
27 May 2022,224.7,228.6,228.65,223.4,6322869,-1.10%
26 May 2022,227.2,227,229.1,223.9,10612841,1.05%
25 May 2022,224.85,228.4,229.4,222.55,8296961,-0.95%
24 May 2022,227,225,229.65,224.6,12252644,1.07%
23 May 2022,224.6,232,232,224.2,8679376,-1.94%
20 May 2022,229.05,230.75,233.1,226.75,11361211,0.33%
19 May 2022,228.3,223,229.65,221.65,11314202,0.18%
18 May 2022,227.9,237.5,238.25,227.1,14386163,-4.50%
17 May 2022,238.65,234.9,239.3,232.75,11603203,1.47%
16 May 2022,235.2,235.5,237.9,233,5970397,-0.47%
13 May 2022,236.3,239.85,239.85,233.1,11305915,0.17%
12 May 2022,235.9,239,241.9,232.15,19904246,-1.38%
11 May 2022,239.2,244,248,238.7,11559464,-1.83%
10 May 2022,243.65,245.8,248.35,242.5,23248121,-0.61%
09 May 2022,245.15,239,246.45,235.65,40589105,2.83%
06 May 2022,238.4,231.45,239.15,231.45,13286390,1.99%
05 May 2022,233.75,238.4,240.65,232.85,12361452,-1.62%
04 May 2022,237.6,233,239.45,232.9,17343483,2.61%
02 May 2022,231.55,225.9,233.25,225.9,9475765,1.67%
29 Apr 2022,227.75,235.1,236.35,227.05,6769749,-3.33%
28 Apr 2022,235.6,233.4,236.25,230.05,13783610,2.75%
27 Apr 2022,229.3,231.35,232.85,227.45,9510157,-0.99%
26 Apr 2022,231.6,227,232.2,224.35,11541867,3.93%
