Date,Price,Open,High,Low,Volume,Change(%)
15 Sep 2005,153.18,149.3,153.82,148.01,5435200,2.67%
14 Sep 2005,149.19,151.01,152.22,148.3,4240354,-1.51%
13 Sep 2005,151.47,151.61,152.91,151,5456619,-0.03%
12 Sep 2005,151.51,150.05,151.79,149.83,3770214,1.46%
09 Sep 2005,149.33,148.99,150,147.91,4094641,0.41%
08 Sep 2005,148.72,147.79,150.1,147.66,5309545,1.34%
06 Sep 2005,146.76,146.98,147.97,146.08,3100515,-0.20%
05 Sep 2005,147.05,147.38,148.45,146.62,3729150,-0.02%
02 Sep 2005,147.08,145.97,147.5,144.99,4968560,0.52%
01 Sep 2005,146.32,144.77,146.87,144.77,5338618,1.01%
31 Aug 2005,144.85,143.36,145.72,142.6,6712154,1.67%
30 Aug 2005,142.47,141.54,142.91,140.75,4498578,1.04%
29 Aug 2005,141.01,142.15,145.97,139.54,4568030,0.23%
26 Aug 2005,140.69,140.83,141.73,139.65,3624522,0.34%
25 Aug 2005,140.21,140.84,141.1,139.52,7201850,0.22%
24 Aug 2005,139.9,138.32,140.34,137.54,6916076,1.41%
23 Aug 2005,137.95,141.95,142.25,137.53,6610919,-2.02%
22 Aug 2005,140.8,142.89,143.68,139.85,5069105,-0.91%
19 Aug 2005,142.1,151.01,151.01,141.58,6480313,-0.36%
18 Aug 2005,142.62,144.97,149.8,142,8674278,-0.92%
17 Aug 2005,143.95,140.94,144.56,139.93,6998309,2.16%
16 Aug 2005,140.9,141.85,142.95,140.36,5203768,-0.63%
12 Aug 2005,141.79,144.93,145.51,141.37,6459920,-1.86%
11 Aug 2005,144.48,145.5,146.88,143.56,6610025,-0.26%
10 Aug 2005,144.86,144.91,145.5,142.79,7302607,1.67%
09 Aug 2005,142.48,143.76,145.93,141.46,8903267,-0.52%
08 Aug 2005,143.22,150.97,160.87,142.37,11115184,-1.99%
05 Aug 2005,146.13,146.98,148.97,145.44,8039641,-0.47%
04 Aug 2005,146.82,144.36,152.15,144.36,14466212,2.06%
03 Aug 2005,143.86,152.98,153,143.09,26136379,-3.64%
02 Aug 2005,149.29,143.34,150.29,143.16,9092585,4.76%
01 Aug 2005,142.5,141.54,142.93,140.24,4456070,0.62%
29 Jul 2005,141.62,140.54,143.34,139.53,7613858,0.65%
27 Jul 2005,140.71,139.43,141.93,138.81,7561778,1.11%
26 Jul 2005,139.16,137.92,139.41,136.95,4407445,0.53%
25 Jul 2005,138.43,139.21,140.07,137.84,5505138,-0.30%
22 Jul 2005,138.84,136.91,139.21,136.54,3826622,1.67%
21 Jul 2005,136.56,136.11,138.18,135.03,4972401,-0.12%
20 Jul 2005,136.73,134.1,137.52,134.1,5825914,2.17%
19 Jul 2005,133.82,133.69,135.26,133.11,5288380,0.43%
18 Jul 2005,133.25,134.3,135.47,132.52,7839312,-0.73%
15 Jul 2005,134.23,129.46,134.9,129.46,7099154,3.93%
14 Jul 2005,129.16,127.18,130.24,125.05,8425709,1.67%
13 Jul 2005,127.04,128.86,129.14,126.67,2739244,-1.15%
12 Jul 2005,128.52,127.83,129.67,126.96,5132947,0.70%
11 Jul 2005,127.63,124.46,128.05,124.46,4123835,2.19%
08 Jul 2005,124.89,126.44,126.44,123.83,5541157,1.03%
07 Jul 2005,123.62,129.14,129.14,122.68,8735824,-4.84%
06 Jul 2005,129.91,128.33,130.27,128.33,3357409,1.12%
05 Jul 2005,128.47,129.67,130.47,128.15,4700583,-0.99%
04 Jul 2005,129.75,129.26,130.77,128.66,3814948,0.68%
01 Jul 2005,128.88,129.46,129.87,128.37,3513766,-0.38%
30 Jun 2005,129.37,130.47,131.51,128.19,7195559,0.11%
29 Jun 2005,129.23,127.65,130.27,127.39,8831638,1.95%
28 Jun 2005,126.76,134.9,134.9,126.27,10011559,-2.94%
27 Jun 2005,130.6,130.47,135.91,129.92,12441700,-0.92%
24 Jun 2005,131.81,130.67,132.59,129.47,6446770,0.63%
23 Jun 2005,130.99,131.72,131.89,130.21,6411276,-0.61%
22 Jun 2005,131.79,129.46,132.89,129.26,12836742,1.30%
21 Jun 2005,130.1,127.25,130.47,125.03,16475825,2.48%
20 Jun 2005,126.95,125.84,130.01,124.1,24100425,5.04%
17 Jun 2005,120.86,118.79,121.92,117.58,9028624,1.70%
16 Jun 2005,118.84,116.18,119.8,115.97,8227646,2.66%
15 Jun 2005,115.76,114.31,116.18,114.31,3469660,0.16%
14 Jun 2005,115.58,114.97,115.77,113.72,3311105,0.78%
13 Jun 2005,114.69,114.14,120.79,112.88,3260828,0.54%
10 Jun 2005,114.07,112.95,114.65,112.95,6310394,1.34%
