Date,Price,Open,High,Low,Volume,Change(%)
24 Sep 2021,2839,2818.6,2850,2800,2433032,0.77%
23 Sep 2021,2817.4,2756.1,2828.5,2730,3720965,3.02%
22 Sep 2021,2734.7,2765,2773.95,2717.7,3054547,-1.43%
21 Sep 2021,2774.35,2760,2780.7,2724.75,2119275,1.16%
20 Sep 2021,2742.5,2795.3,2808.65,2733,2057743,-2.94%
17 Sep 2021,2825.65,2832.25,2851.95,2801.7,4447386,0.47%
16 Sep 2021,2812.35,2800,2823.9,2798.5,1831201,-0.11%
15 Sep 2021,2815.45,2805.7,2843,2795,1924840,-0.09%
14 Sep 2021,2818.05,2864.95,2869,2810,2238463,-1.11%
13 Sep 2021,2849.8,2844,2875.85,2833.3,3283960,0.70%
09 Sep 2021,2830.1,2815.2,2853.85,2813.8,1986913,0.03%
08 Sep 2021,2829.3,2838.25,2852,2802.25,2274494,-0.27%
07 Sep 2021,2837,2769.8,2853.65,2749.95,4072518,2.59%
06 Sep 2021,2765.3,2765,2777.7,2741.2,1729080,0.24%
03 Sep 2021,2758.6,2768.1,2784.15,2742.1,1914438,-0.69%
02 Sep 2021,2777.7,2756.9,2785,2737.25,1734037,1.09%
01 Sep 2021,2747.75,2790,2796.95,2736.6,3084291,-1.81%
31 Aug 2021,2798.5,2748,2812,2739.35,4933523,1.55%
30 Aug 2021,2755.7,2730.45,2764.9,2723.1,1731926,1.38%
27 Aug 2021,2718.2,2694.1,2724.65,2662.05,2761023,0.66%
26 Aug 2021,2700.35,2711.25,2720,2682.2,1855274,0.04%
25 Aug 2021,2699.25,2707.8,2718.5,2696.25,1714777,0.30%
24 Aug 2021,2691.25,2726,2729.9,2683.95,2984595,-1.13%
23 Aug 2021,2721.95,2745.5,2758.5,2710,1901700,0.00%
20 Aug 2021,2722.05,2700,2738.95,2698,3986473,0.42%
18 Aug 2021,2710.75,2750,2770.3,2698,2501410,-1.01%
17 Aug 2021,2738.4,2729.95,2750,2707.15,2795510,0.27%
16 Aug 2021,2731.15,2696.8,2734.45,2693.8,2465887,1.00%
13 Aug 2021,2704.15,2662,2715,2662,3248615,1.33%
12 Aug 2021,2668.75,2656.6,2675.25,2646.6,1702479,0.39%
11 Aug 2021,2658.5,2675,2689.5,2633.75,1769627,-0.49%
10 Aug 2021,2671.65,2634.7,2678.7,2626.85,4690741,1.82%
09 Aug 2021,2623.9,2632.05,2646.25,2599.9,1751767,-0.16%
06 Aug 2021,2628.1,2657,2673,2621.4,2139764,-1.26%
05 Aug 2021,2661.7,2680,2685,2644.3,4021021,-0.54%
04 Aug 2021,2676.05,2573.3,2681,2565,9604932,4.75%
03 Aug 2021,2554.65,2515,2560,2476,5962929,3.76%
02 Aug 2021,2462.05,2466,2487,2425.1,5009133,0.86%
30 Jul 2021,2441.15,2417.95,2464.7,2414.8,4128459,1.09%
29 Jul 2021,2414.8,2424,2433.65,2405.1,3288676,-0.45%
28 Jul 2021,2425.8,2417.1,2432.45,2380,3988878,-0.33%
27 Jul 2021,2433.95,2470.9,2474,2430,2680260,-1.23%
26 Jul 2021,2464.3,2485,2485,2460,1462225,-0.73%
23 Jul 2021,2482.5,2497.8,2501.6,2470,1275979,-0.31%
22 Jul 2021,2490.3,2470.1,2493.05,2465.5,1792789,1.28%
20 Jul 2021,2458.75,2470,2480.5,2450,1731830,-0.92%
19 Jul 2021,2481.65,2488,2497.7,2470.9,2262325,-2.18%
16 Jul 2021,2536.9,2548,2558,2531.5,1568532,-0.13%
15 Jul 2021,2540.1,2539,2555,2516,3272479,0.36%
14 Jul 2021,2531.1,2544,2544.9,2516,2725020,-0.54%
13 Jul 2021,2544.9,2496,2549.95,2487.75,3716936,2.74%
12 Jul 2021,2476.95,2503,2511,2452.2,6818026,-0.78%
09 Jul 2021,2496.45,2504.1,2509,2484.85,1348273,-0.62%
08 Jul 2021,2512.05,2535,2543.85,2508,2683729,-0.68%
07 Jul 2021,2529.2,2503.85,2545.8,2495.2,2542003,1.31%
06 Jul 2021,2496.4,2492.6,2518.9,2490.2,1428812,0.06%
05 Jul 2021,2494.9,2489.3,2496.8,2471.2,1234739,0.78%
02 Jul 2021,2475.7,2463,2480,2445,1951251,0.66%
01 Jul 2021,2459.4,2480,2491.35,2456,2189447,-0.64%
30 Jun 2021,2475.25,2503.15,2515,2472.2,2798047,-1.04%
29 Jun 2021,2501.2,2510,2510,2476.9,2671608,0.25%
28 Jun 2021,2494.95,2515,2523.1,2491.2,2140346,-0.57%
25 Jun 2021,2509.2,2511,2515,2482,1871813,0.88%
24 Jun 2021,2487.4,2514.9,2515,2485,3257706,-0.39%
23 Jun 2021,2497.2,2537,2537,2493,2179551,-1.02%
