Date,Price,Open,High,Low,Volume,Change(%)
12 Jun 2013,5154.65,5145,5236,5090,35954,1.17%
11 Jun 2013,5095.2,5161,5180,5085,13332,-1.39%
10 Jun 2013,5167.05,5299,5299,5150,13085,-1.64%
07 Jun 2013,5253.05,5280,5321,5232.55,6911,-0.80%
06 Jun 2013,5295.5,5300,5327.9,5250.05,16572,0.22%
05 Jun 2013,5283.95,5300,5349.7,5250,9910,-0.14%
04 Jun 2013,5291.1,5233,5347,5233,7957,0.03%
03 Jun 2013,5289.25,5225,5300,5225,11026,-0.25%
31 May 2013,5302.25,5250.05,5324,5230.1,26090,1.33%
30 May 2013,5232.5,5245.05,5249.9,5198.95,5029,-0.33%
29 May 2013,5249.75,5251,5300,5206.15,42997,-0.03%
28 May 2013,5251.55,5200.2,5271.75,5200.2,3537,0.48%
27 May 2013,5226.5,5239.65,5308.9,5195,11410,-0.25%
24 May 2013,5239.65,5308,5308,5190,14912,-0.60%
23 May 2013,5271.3,5290,5350,5200,58390,0.60%
22 May 2013,5239.8,5260,5325,5185,28739,-0.11%
21 May 2013,5245.6,5110.1,5270,5108.5,48664,2.75%
20 May 2013,5105.1,4975.05,5130,4969.75,154555,2.61%
17 May 2013,4975.05,4949.95,4989.9,4912.95,37254,0.97%
16 May 2013,4927.15,4853.25,4974,4853.25,42477,-0.24%
15 May 2013,4939,4851,4960,4851,12927,1.19%
14 May 2013,4881.05,4839.95,4899.8,4839.95,56994,0.68%
13 May 2013,4848.2,4900,4949,4762.35,28518,-1.09%
11 May 2013,4901.65,4911.25,4916,4880.05,840,0.05%
10 May 2013,4899,4900,4930.9,4882.65,25671,-0.34%
09 May 2013,4915.55,4933,4935,4900,13686,-0.29%
08 May 2013,4929.7,4885,4947.85,4884.9,11628,0.91%
07 May 2013,4885.1,4899,4919.7,4875,5409,-0.21%
06 May 2013,4895.6,4899.95,4938.75,4890,2939,-0.19%
03 May 2013,4905,4870,4936.75,4870,6023,-0.46%
02 May 2013,4927.8,4969.6,4969.6,4855.1,47424,-1.08%
30 Apr 2013,4981.35,4712,5060,4712,225762,5.20%
29 Apr 2013,4734.95,4750,4775,4718.4,16744,0.10%
26 Apr 2013,4730.15,4615,4749.9,4615,19089,0.34%
25 Apr 2013,4714.1,4707,4725,4611.55,18087,1.26%
23 Apr 2013,4655.55,4675.1,4704,4632.05,87560,-0.90%
22 Apr 2013,4698,4610,4710,4610,50694,0.58%
18 Apr 2013,4670.8,4689,4689,4609,21655,0.19%
17 Apr 2013,4662.15,4650,4679.85,4602,59251,0.93%
16 Apr 2013,4619.4,4584.9,4620,4551.65,28847,0.74%
15 Apr 2013,4585.3,4525,4598,4525,7486,1.43%
12 Apr 2013,4520.7,4490,4540,4472.65,9713,0.20%
11 Apr 2013,4511.8,4600,4600,4500,41826,-0.04%
10 Apr 2013,4513.8,4514.9,4530,4460,121812,1.20%
09 Apr 2013,4460.1,4515,4515,4440,5571,0.16%
08 Apr 2013,4452.85,4500.05,4524.95,4448.1,7608,-0.03%
05 Apr 2013,4454.3,4625,4625,4433,19451,-2.16%
04 Apr 2013,4552.6,4605.2,4649.75,4535,6671,-2.01%
03 Apr 2013,4645.9,4610,4660,4610,6997,0.52%
02 Apr 2013,4622.05,4581,4640,4581,4837,-0.02%
01 Apr 2013,4622.85,4675,4679.9,4600,9775,0.76%
28 Mar 2013,4588.2,4599.95,4619.75,4533,27763,0.44%
26 Mar 2013,4567.95,4590.05,4636.1,4555,39066,-0.92%
25 Mar 2013,4610.25,4681.25,4867.7,4566,140430,-2.05%
22 Mar 2013,4706.75,4725,4754.75,4660,13594,-1.05%
21 Mar 2013,4756.5,4625,4774.7,4625,14619,1.20%
20 Mar 2013,4699.9,4700,4710,4640,12928,0.44%
19 Mar 2013,4679.5,4698.95,4705,4640,13171,0.05%
18 Mar 2013,4677,4735,4759.8,4655.55,36278,-1.02%
15 Mar 2013,4725.2,4700,4818,4629.65,33258,0.40%
14 Mar 2013,4706.3,4685.1,4730,4675.05,5463,0.38%
13 Mar 2013,4688.7,4687,4725,4669.95,7714,-0.20%
12 Mar 2013,4697.95,4705,4769,4675,4088,-0.50%
11 Mar 2013,4721.65,4751.45,4797.9,4710,10874,-0.99%
08 Mar 2013,4768.65,4728.95,4775,4712.65,20236,1.26%
07 Mar 2013,4709.5,4713.4,4729.9,4700,5617,-0.55%
06 Mar 2013,4735.75,4749.9,4750,4720,44725,0.23%
05 Mar 2013,4725,4722.6,4750,4685,26862,-0.29%
04 Mar 2013,4738.8,4716.15,4764.9,4714,22273,0.89%
01 Mar 2013,4696.85,4760,4779.8,4680.05,7694,-1.36%
28 Feb 2013,4761.8,4699.85,4789.85,4699.8,158717,1.96%
27 Feb 2013,4670.05,4632.6,4699,4625.15,85135,1.14%
26 Feb 2013,4617.35,4615.4,4665.45,4601.1,22988,-0.80%
25 Feb 2013,4654.55,4606.4,4689.9,4600,49964,0.55%
22 Feb 2013,4629.1,4644.65,4747.7,4608,77755,0.78%
21 Feb 2013,4593.5,4600,4645,4572.65,98113,-0.23%
20 Feb 2013,4604.2,4651.8,4651.8,4581,350936,0.12%
19 Feb 2013,4598.9,4589.6,4604.9,4571.15,4883,0.70%
18 Feb 2013,4566.9,4605,4620.8,4557,14948,-0.66%
15 Feb 2013,4597.45,4582.05,4607,4565.1,7213,-0.01%
14 Feb 2013,4597.7,4620.25,4633.9,4570,33865,-0.33%
13 Feb 2013,4612.7,4608.5,4647.7,4599.9,13528,-0.22%
12 Feb 2013,4622.65,4656,4656.65,4580,23744,0.39%
11 Feb 2013,4604.55,4657.45,4710,4570.35,25377,-0.84%
08 Feb 2013,4643.4,4717.05,4759.2,4632,9467,-1.31%
07 Feb 2013,4705.05,4743.2,4770,4701,3140,-0.22%
06 Feb 2013,4715.6,4761.95,4783,4706.5,3672,-0.63%
05 Feb 2013,4745.5,4789.8,4789.8,4701.6,23112,0.12%
04 Feb 2013,4739.65,4747,4760,4655,8728,1.00%
01 Feb 2013,4692.65,4670.15,4789.9,4634.2,23148,-1.11%
31 Jan 2013,4745.55,4651,4797.1,4621.45,35395,2.07%
30 Jan 2013,4649.2,4635.2,4698,4602,15340,1.02%
29 Jan 2013,4602.45,4690,4690,4562.35,24267,0.12%
28 Jan 2013,4596.85,4698,4698,4570.05,26792,-1.15%
25 Jan 2013,4650.1,4550.05,4670,4524,15375,2.22%
24 Jan 2013,4549.3,4550.2,4574,4510.15,14506,1.03%
23 Jan 2013,4503.1,4779.8,4779.8,4475,49043,-4.20%
22 Jan 2013,4700.75,4776,4827.65,4681,12694,-1.96%
21 Jan 2013,4794.85,4852,4852,4782,13066,-0.04%
18 Jan 2013,4797,4831.7,4859.9,4786.6,13335,-0.01%
